#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
516	200.081	340	0.0566667
517	200.452	340	0.0566667
518	200.824	379	0.0631667
519	201.195	380	0.0633333
520	201.566	325	0.0541667
521	201.938	325	0.0541667
522	202.309	348	0.058
523	202.680	366	0.061
524	203.052	331	0.0551667
525	203.423	353	0.0588333
526	203.794	340	0.0566667
527	204.166	329	0.0548333
528	204.537	345	0.0575
529	204.908	326	0.0543333
530	205.280	352	0.0586667
531	205.651	357	0.0595
532	206.022	322	0.0536667
533	206.394	313	0.0521667
534	206.765	346	0.0576667
535	207.136	342	0.057
536	207.507	390	0.065
537	207.879	331	0.0551667
538	208.250	355	0.0591667
539	208.621	347	0.0578333
540	208.993	333	0.0555
541	209.364	328	0.0546667
542	209.735	346	0.0576667
543	210.107	316	0.0526667
544	210.478	329	0.0548333
545	210.849	345	0.0575
546	211.221	356	0.0593333
547	211.592	329	0.0548333
548	211.963	353	0.0588333
549	212.335	331	0.0551667
550	212.706	335	0.0558333
551	213.077	332	0.0553333
552	213.449	342	0.057
553	213.820	349	0.0581667
554	214.191	309	0.0515
555	214.563	346	0.0576667
556	214.934	339	0.0565
557	215.305	357	0.0595
558	215.676	321	0.0535
559	216.048	327	0.0545
560	216.419	299	0.0498333
561	216.790	330	0.055
562	217.162	318	0.053
563	217.533	337	0.0561667
564	217.904	325	0.0541667
565	218.276	319	0.0531667
566	218.647	330	0.055
567	219.018	306	0.051
568	219.390	312	0.052
569	219.761	348	0.058
570	220.132	339	0.0565
571	220.504	348	0.058
572	220.875	339	0.0565
573	221.246	333	0.0555
574	221.618	328	0.0546667
575	221.989	332	0.0553333
576	222.360	319	0.0531667
577	222.732	330	0.055
578	223.103	335	0.0558333
579	223.474	311	0.0518333
580	223.845	338	0.0563333
581	224.217	341	0.0568333
582	224.588	295	0.0491667
583	224.959	369	0.0615
584	225.331	325	0.0541667
585	225.702	358	0.0596667
586	226.073	326	0.0543333
587	226.445	325	0.0541667
588	226.816	340	0.0566667
589	227.187	328	0.0546667
590	227.559	342	0.057
591	227.930	357	0.0595
592	228.301	355	0.0591667
593	228.673	332	0.0553333
594	229.044	343	0.0571667
595	229.415	342	0.057
596	229.787	361	0.0601667
597	230.158	318	0.053
598	230.529	389	0.0648333
599	230.900	349	0.0581667
600	231.272	341	0.0568333
601	231.643	365	0.0608333
602	232.014	340	0.0566667
603	232.386	333	0.0555
604	232.757	319	0.0531667
605	233.128	330	0.055
606	233.500	313	0.0521667
607	233.871	327	0.0545
608	234.242	334	0.0556667
609	234.614	317	0.0528333
610	234.985	352	0.0586667
611	235.356	347	0.0578333
612	235.728	326	0.0543333
613	236.099	349	0.0581667
614	236.470	340	0.0566667
615	236.842	352	0.0586667
616	237.213	316	0.0526667
617	237.584	313	0.0521667
618	237.956	337	0.0561667
619	238.327	358	0.0596667
620	238.698	332	0.0553333
621	239.069	340	0.0566667
622	239.441	375	0.0625
